grid_size,F,q,run_id,steps_to_convergence,unique_cultures,largest_domain_size,largest_domain_percentage,avg_cultural_distance
15,5,15,80,283209,13,193,85.77777777777777,0.13095238095238096
15,5,15,81,467750,4,221,98.22222222222223,0.02619047619047619
15,5,15,82,342305,10,201,89.33333333333333,0.11428571428571428
15,5,15,83,285224,3,223,99.11111111111111,0.016666666666666666
15,5,15,84,254548,8,208,92.44444444444444,0.09285714285714286
15,5,15,85,227131,5,220,97.77777777777777,0.02619047619047619
15,5,15,86,203336,5,218,96.88888888888889,0.04047619047619048
15,5,15,87,518011,8,184,81.77777777777779,0.1357142857142857
15,5,15,88,178918,6,211,93.77777777777779,0.05
15,5,15,89,328945,3,218,96.88888888888889,0.03333333333333333
15,5,15,90,291982,7,208,92.44444444444444,0.06428571428571428
15,5,15,91,353513,11,202,89.77777777777777,0.09761904761904762
15,5,15,92,254302,6,218,96.88888888888889,0.05238095238095238
15,5,15,93,363503,11,197,87.55555555555556,0.11666666666666667
15,5,15,94,255880,4,221,98.22222222222223,0.023809523809523808
15,5,15,95,375196,5,221,98.22222222222223,0.030952380952380953
15,5,15,96,217530,11,193,85.77777777777777,0.12142857142857143
15,5,15,97,513473,5,218,96.88888888888889,0.03333333333333333
15,5,15,98,275915,4,221,98.22222222222223,0.02857142857142857
15,5,15,99,202979,6,218,96.88888888888889,0.03571428571428571
