correlation,grid_size,run_id,steps_to_convergence,unique_cultures,largest_domain_size,largest_domain_percentage,avg_cultural_distance
0.25,10,19,21060,4,95,95.0,0.07222222222222222
0.25,10,20,50014,1,100,100.0,0.0
0.25,10,21,29208,1,100,100.0,0.0
0.25,10,22,13750,3,96,96.0,0.06666666666666667
0.25,10,23,33397,5,93,93.0,0.12777777777777777
0.25,10,24,26023,2,99,99.0,0.022222222222222223
0.25,10,25,18018,2,99,99.0,0.011111111111111112
0.25,10,26,56386,3,97,97.0,0.05555555555555555
0.25,10,27,21621,4,96,96.0,0.07777777777777778
0.25,10,28,8070,2,95,95.0,0.03333333333333333
0.25,10,29,19163,6,79,79.0,0.11666666666666667
0.25,10,30,8164,4,87,87.0,0.08888888888888889
0.25,10,31,43145,3,97,97.0,0.05
0.25,10,32,29856,8,88,88.0,0.13333333333333333
0.25,10,33,58775,3,97,97.0,0.044444444444444446
0.25,10,34,23478,3,98,98.0,0.03888888888888889
0.25,10,35,61044,1,100,100.0,0.0
0.25,10,36,35864,2,99,99.0,0.016666666666666666
0.25,10,37,47616,2,99,99.0,0.022222222222222223
0.25,10,38,24558,1,100,100.0,0.0
0.25,10,39,12938,8,91,91.0,0.13333333333333333
0.25,10,40,17046,3,95,95.0,0.06666666666666667
0.25,10,41,26307,2,99,99.0,0.016666666666666666
0.25,10,42,34439,3,98,98.0,0.044444444444444446
0.25,10,43,37852,3,95,95.0,0.06111111111111111
0.25,10,44,18965,3,95,95.0,0.044444444444444446
0.25,10,45,35815,3,98,98.0,0.03888888888888889
0.25,10,46,35959,2,99,99.0,0.016666666666666666
0.25,10,47,35825,1,100,100.0,0.0
0.25,10,48,32376,3,98,98.0,0.03888888888888889
0.25,10,49,26630,1,100,100.0,0.0
0.5,10,0,20687,3,98,98.0,0.03888888888888889
0.5,10,1,25053,4,93,93.0,0.09444444444444444
0.5,10,2,31726,3,51,51.0,0.07222222222222222
0.5,10,3,11359,1,100,100.0,0.0
0.5,10,4,28841,3,98,98.0,0.03888888888888889
0.5,10,5,58619,2,99,99.0,0.022222222222222223
0.5,10,6,27975,4,93,93.0,0.07777777777777778
0.5,10,7,27356,3,93,93.0,0.06111111111111111
0.5,10,8,42833,1,100,100.0,0.0
0.5,10,9,57421,1,100,100.0,0.0
0.5,10,10,21679,3,93,93.0,0.08888888888888889
0.5,10,11,36622,3,96,96.0,0.03333333333333333
0.5,10,12,14675,7,83,83.0,0.13333333333333333
0.5,10,13,20923,6,83,83.0,0.15
0.5,10,14,42004,6,91,91.0,0.09444444444444444
0.5,10,15,23997,2,99,99.0,0.016666666666666666
0.5,10,16,30898,2,99,99.0,0.022222222222222223
0.5,10,17,22440,3,50,50.0,0.1111111111111111
0.5,10,18,20013,3,98,98.0,0.027777777777777776
0.5,10,19,57826,4,92,92.0,0.09444444444444444
0.5,10,20,37568,3,97,97.0,0.05555555555555555
0.5,10,21,32168,3,98,98.0,0.03888888888888889
0.5,10,22,63204,2,99,99.0,0.022222222222222223
0.5,10,23,28088,2,99,99.0,0.022222222222222223
0.5,10,24,62080,1,100,100.0,0.0
0.5,10,25,49331,4,95,95.0,0.06111111111111111
0.5,10,26,24471,2,99,99.0,0.016666666666666666
0.5,10,27,25037,2,99,99.0,0.022222222222222223
0.5,10,28,34962,4,93,93.0,0.09444444444444444
0.5,10,29,32979,4,85,85.0,0.10555555555555556
0.5,10,30,45266,3,98,98.0,0.03888888888888889
0.5,10,31,55324,3,98,98.0,0.027777777777777776
0.5,10,32,46099,3,97,97.0,0.05
0.5,10,33,12045,2,99,99.0,0.011111111111111112
0.5,10,34,13557,3,91,91.0,0.05
0.5,10,35,40438,4,96,96.0,0.06666666666666667
0.5,10,36,22647,3,96,96.0,0.044444444444444446
0.5,10,37,37529,2,87,87.0,0.05555555555555555
0.5,10,38,22267,2,98,98.0,0.016666666666666666
0.5,10,39,19013,3,98,98.0,0.03333333333333333
0.5,10,40,17962,4,95,95.0,0.06111111111111111
0.5,10,41,92948,5,94,94.0,0.09444444444444444
0.5,10,42,33037,5,95,95.0,0.07222222222222222
0.5,10,43,42403,2,99,99.0,0.011111111111111112
0.5,10,44,51439,2,99,99.0,0.016666666666666666
0.5,10,45,59833,6,87,87.0,0.14444444444444443
0.5,10,46,42583,2,99,99.0,0.022222222222222223
0.5,10,47,50210,1,100,100.0,0.0
0.5,10,48,26738,4,96,96.0,0.044444444444444446
0.5,10,49,52789,1,100,100.0,0.0
0.75,10,0,28319,4,89,89.0,0.13333333333333333
0.75,10,1,55497,4,95,95.0,0.044444444444444446
0.75,10,2,49666,6,93,93.0,0.1
0.75,10,3,22100,2,99,99.0,0.022222222222222223
0.75,10,4,13055,7,79,79.0,0.17777777777777778
0.75,10,5,33385,4,91,91.0,0.06666666666666667
0.75,10,6,23495,1,100,100.0,0.0
0.75,10,7,14311,2,99,99.0,0.022222222222222223
0.75,10,8,19485,2,99,99.0,0.016666666666666666
0.75,10,9,36585,4,96,96.0,0.07222222222222222
0.75,10,10,68816,3,97,97.0,0.03888888888888889
0.75,10,11,13812,3,94,94.0,0.07777777777777778
0.75,10,12,21818,1,100,100.0,0.0
0.75,10,13,26935,4,94,94.0,0.08333333333333333
0.75,10,14,32470,3,96,96.0,0.05
0.75,10,15,49942,2,99,99.0,0.022222222222222223
0.75,10,16,21558,7,58,57.99999999999999,0.17222222222222222
0.75,10,17,36284,5,90,90.0,0.1
0.75,10,18,23646,2,99,99.0,0.022222222222222223
0.75,10,19,24860,1,100,100.0,0.0
0.75,10,20,22503,4,96,96.0,0.07777777777777778
0.75,10,21,29366,4,96,96.0,0.07777777777777778
0.75,10,22,28510,2,99,99.0,0.022222222222222223
0.75,10,23,35557,3,92,92.0,0.07777777777777778
0.75,10,24,83916,2,98,98.0,0.03333333333333333
0.75,10,25,65914,3,97,97.0,0.05555555555555555
0.75,10,26,17745,4,92,92.0,0.13333333333333333
0.75,10,27,28617,3,94,94.0,0.09444444444444444
0.75,10,28,47112,2,99,99.0,0.016666666666666666
0.75,10,29,22300,2,98,98.0,0.027777777777777776
0.75,10,30,32788,2,93,93.0,0.044444444444444446
0.75,10,31,27327,3,95,95.0,0.05
0.75,10,32,43427,4,91,91.0,0.12222222222222222
0.75,10,33,31359,2,98,98.0,0.022222222222222223
0.75,10,34,31277,3,95,95.0,0.07777777777777778
0.75,10,35,58074,2,85,85.0,0.14444444444444443
0.75,10,36,14531,3,87,87.0,0.12777777777777777
0.75,10,37,16745,4,97,97.0,0.05
0.75,10,38,23421,1,100,100.0,0.0
0.75,10,39,48075,3,98,98.0,0.044444444444444446
0.75,10,40,24416,2,98,98.0,0.03888888888888889
0.75,10,41,29097,2,99,99.0,0.022222222222222223
0.75,10,42,29946,4,94,94.0,0.09444444444444444
0.75,10,43,28986,1,100,100.0,0.0
0.75,10,44,41145,2,98,98.0,0.022222222222222223
0.75,10,45,29950,2,92,92.0,0.09444444444444444
0.75,10,46,15396,1,100,100.0,0.0
0.75,10,47,12329,2,99,99.0,0.011111111111111112
0.75,10,48,64079,1,100,100.0,0.0
0.75,10,49,28105,1,100,100.0,0.0
1.0,10,0,17787,4,89,89.0,0.15
1.0,10,1,16732,4,95,95.0,0.07777777777777778
1.0,10,2,22427,7,75,75.0,0.2222222222222222
1.0,10,3,33261,6,92,92.0,0.09444444444444444
1.0,10,4,88699,3,95,95.0,0.08333333333333333
1.0,10,5,48486,4,95,95.0,0.06666666666666667
1.0,10,6,32401,4,92,92.0,0.09444444444444444
1.0,10,7,24592,2,99,99.0,0.016666666666666666
1.0,10,8,19709,2,99,99.0,0.011111111111111112
1.0,10,9,28939,5,96,96.0,0.08333333333333333
1.0,10,10,71924,8,53,53.0,0.28888888888888886
1.0,10,11,28322,4,93,93.0,0.1
1.0,10,12,41660,2,98,98.0,0.016666666666666666
1.0,10,13,29613,3,97,97.0,0.05555555555555555
1.0,10,14,40803,3,91,91.0,0.09444444444444444
1.0,10,15,27988,6,87,87.0,0.14444444444444443
1.0,10,16,16130,4,93,93.0,0.1
1.0,10,17,23963,3,97,97.0,0.05555555555555555
1.0,10,18,35221,3,75,75.0,0.1388888888888889
1.0,10,19,15251,2,99,99.0,0.022222222222222223
1.0,10,20,23814,4,93,93.0,0.07222222222222222
1.0,10,21,47831,4,96,96.0,0.07222222222222222
1.0,10,22,45072,1,100,100.0,0.0
1.0,10,23,34762,2,99,99.0,0.022222222222222223
1.0,10,24,15313,6,85,85.0,0.2388888888888889
1.0,10,25,64962,6,83,83.0,0.2222222222222222
1.0,10,26,41971,3,98,98.0,0.03888888888888889
1.0,10,27,51735,3,98,98.0,0.044444444444444446
1.0,10,28,14938,3,97,97.0,0.044444444444444446
1.0,10,29,45029,6,72,72.0,0.2722222222222222
1.0,10,30,48403,2,98,98.0,0.03333333333333333
1.0,10,31,54324,4,92,92.0,0.12222222222222222
1.0,10,32,11996,6,77,77.0,0.19444444444444445
1.0,10,33,24306,4,97,97.0,0.06111111111111111
1.0,10,34,19393,1,100,100.0,0.0
1.0,10,35,30712,5,94,94.0,0.1111111111111111
1.0,10,36,30263,3,98,98.0,0.044444444444444446
1.0,10,37,63749,3,94,94.0,0.09444444444444444
1.0,10,38,25894,5,91,91.0,0.11666666666666667
1.0,10,39,29119,4,94,94.0,0.1
1.0,10,40,10564,5,82,82.0,0.14444444444444443
1.0,10,41,42314,5,92,92.0,0.10555555555555556
1.0,10,42,79425,5,60,60.0,0.21666666666666667
1.0,10,43,18308,3,98,98.0,0.044444444444444446
1.0,10,44,17649,5,94,94.0,0.11666666666666667
1.0,10,45,22137,7,92,92.0,0.12777777777777777
1.0,10,46,52358,3,93,93.0,0.09444444444444444
1.0,10,47,38577,6,94,94.0,0.1111111111111111
1.0,10,48,27234,2,88,88.0,0.10555555555555556
1.0,10,49,53756,4,92,92.0,0.08888888888888889
