F,q,num_runs,steps_mean,steps_std,steps_min,steps_max,unique_cultures_mean,unique_cultures_std,unique_cultures_min,unique_cultures_max,largest_domain_mean,largest_domain_std,avg_distance_mean,avg_distance_std,prob_global_consensus
4,13,100,44532.75,24861.73549629028,6945,120694,21.58,11.359735912423316,4,54,52.37,24.972647036307546,0.3713888888888889,0.1643888325635441,0.0
4,14,100,40766.98,25121.2260672046,2797,149675,26.07,11.513691849272327,5,57,46.27,23.630004231908213,0.43066666666666664,0.1488339036113665,0.0
4,15,100,36991.62,28498.046013641007,5278,177742,30.17,11.835586170528268,7,60,41.1,22.1713779454503,0.4802777777777777,0.1442699266250422,0.0
4,16,100,32186.88,21629.840740643467,4807,103094,35.13,11.622955734235589,9,62,35.52,22.299991031388327,0.5328333333333333,0.140664417657991,0.0
4,17,100,30404.66,27098.98862253719,3194,149462,41.51,11.0177084731808,13,64,29.44,17.529586418395613,0.5973888888888889,0.11620930191620571,0.0
4,18,100,20833.62,20364.48907573181,2595,151178,48.95,10.427247959073382,19,75,19.03,11.595218842264256,0.6705,0.09210734143204337,0.0
4,19,100,21287.1,27282.642582968387,2300,232805,51.14,10.114366020665853,20,74,18.15,13.069334336529923,0.6884444444444443,0.09005032886333653,0.0
4,20,100,18018.19,18072.81446354994,1974,92099,53.02,11.240978605085946,18,78,17.85,13.184365741286152,0.7009444444444446,0.09870474427913724,0.0
5,2,100,36713.42,14827.40603287035,11889,94011,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
5,3,100,42305.96,13874.755596348354,17737,82934,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
5,4,100,42745.34,15753.840863878244,21134,100606,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
5,5,100,49529.88,16076.667076406105,20823,91394,1.01,0.09949874371066199,1,2,99.97,0.2984962311319859,0.0003333333333333333,0.0033166247903554003,0.99
5,6,100,51686.33,16813.634479823213,20434,125922,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
5,7,100,53014.93,15369.577512901908,21473,101542,1.11,0.3433656942677879,1,3,99.87,0.41605288125429446,0.0018888888888888887,0.006046119049072351,0.9
5,8,100,52261.76,15040.81124748263,20032,108982,1.35,0.7123903424387504,1,4,99.1,2.6057628441590768,0.008166666666666666,0.01769869563443854,0.76
5,9,100,53722.95,19094.46570468784,22031,111118,1.49,0.6244197306299665,1,3,99.13,1.5469647701224485,0.010388888888888887,0.014329779921289532,0.58
5,10,100,53323.43,16188.3214739855,27257,129468,2.27,1.4889929482707434,1,8,97.32,3.775923728043245,0.02961111111111111,0.0363373681076059,0.36
5,11,100,56878.56,17792.990465528834,26683,119746,2.64,1.204325537385968,1,6,96.87,3.3842428990839295,0.035222222222222224,0.029146500965270574,0.14
5,12,100,58007.73,16793.66717001084,21111,103251,4.2,3.4438350715445125,1,19,91.96,13.345351250529154,0.07033333333333332,0.07633672966728595,0.08
5,13,100,55612.25,17191.76270390852,25421,115234,5.19,2.8972228081388565,1,16,90.43,10.589858355993249,0.09072222222222223,0.06443512863701861,0.04
5,14,100,56148.82,17577.88082300025,20588,106801,7.89,5.100774451002514,1,32,83.77,17.487627054577757,0.14616666666666667,0.10237517240974946,0.02
5,15,100,58819.11,25782.321696424086,16673,216160,11.1,6.312685640834651,1,30,77.17,17.059340549974376,0.20588888888888884,0.11281696089979851,0.01
5,16,100,55857.38,21104.568688215357,10048,119130,13.68,8.34131884056712,2,43,72.29,22.712681479737263,0.24272222222222223,0.14109731997349811,0.0
5,17,100,56000.32,23522.531392212022,12769,116757,16.37,10.629821259080513,1,48,69.73,23.170176952280706,0.27583333333333326,0.1615690331379618,0.01
5,18,100,54010.01,25425.615571897175,7500,128765,22.13,11.18539672966498,4,53,57.88,24.538655219877068,0.3653888888888888,0.15993412031053963,0.0
5,19,100,48079.37,25584.45433252584,3671,110306,26.59,12.518062949194656,5,63,49.87,24.778480582957464,0.42133333333333334,0.15919496548897843,0.0
5,20,100,45636.91,26797.401947612387,6571,138964,30.96,12.167103188516155,7,62,43.45,24.495866998332595,0.4799444444444444,0.14921584126342155,0.0
6,2,100,40969.52,17863.15845671196,15607,121175,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
6,3,100,44652.65,16125.045982802652,20515,97092,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
6,4,100,50637.51,17237.631190215783,24041,136673,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
6,5,100,50589.76,16106.241707561698,23544,102341,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
6,6,100,52585.64,15997.893933590132,21484,114591,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
6,7,100,58700.69,18820.93597496947,26413,131680,1.01,0.09949874371066199,1,2,99.98,0.19899748742132406,0.00016666666666666666,0.0016583123951777001,0.99
6,8,100,59929.91,18387.838167166363,28486,122175,1.06,0.23748684174075835,1,2,99.88,0.5528109984434102,0.0011111111111111111,0.004648111258522642,0.94
6,9,100,56303.71,15500.558834632382,24819,110658,1.15,0.3840572873934304,1,3,99.81,0.523354564325181,0.002722222222222222,0.006960869464636132,0.86
6,10,100,56774.52,14494.912042147756,29665,104783,1.25,0.51720402163943,1,4,99.57,1.0977704678119191,0.004388888888888889,0.009306011597448816,0.78
6,11,100,55753.73,15714.342218403544,28210,118018,1.44,0.6829348431585549,1,4,99.28,1.7151093259614671,0.009000000000000001,0.01508780883059704,0.66
6,12,100,60773.03,17477.41837025995,26270,131250,1.85,1.0428326807307104,1,5,98.45,2.5233905761891084,0.018888888888888886,0.026410809608899362,0.49
6,13,100,63131.35,15712.209041617924,34088,111491,2.49,1.2844843323295152,1,7,97.04,3.6246930904560735,0.0325,0.030127045804208698,0.22
6,14,100,63218.27,17462.403699866176,26585,120411,2.77,1.5090062955468408,1,8,96.91,3.575178317231184,0.0375,0.03338306475363936,0.24
6,15,100,60272.19,17065.00787793255,29909,106781,4.21,2.829469915019419,1,16,93.07,9.990250247115934,0.06977777777777777,0.06213446191949112,0.1
6,16,100,61010.49,14396.6066685834,33851,95966,5.22,3.0613069104550754,1,18,91.19,9.493887507233273,0.08872222222222222,0.06473810010293994,0.01
