correlation,grid_size,run_id,steps_to_convergence,unique_cultures,largest_domain_size,largest_domain_percentage,avg_cultural_distance
0.1,10,157,33430,2,99,99.0,0.016666666666666666
0.1,10,158,31033,1,100,100.0,0.0
0.1,10,159,20584,1,100,100.0,0.0
0.1,10,160,39235,1,100,100.0,0.0
0.1,10,161,44561,1,100,100.0,0.0
0.1,10,162,17925,1,100,100.0,0.0
0.1,10,163,51133,1,100,100.0,0.0
0.1,10,164,30874,1,100,100.0,0.0
0.1,10,165,54099,1,100,100.0,0.0
0.1,10,166,53548,1,100,100.0,0.0
0.1,10,167,42083,2,99,99.0,0.016666666666666666
0.1,10,168,29182,1,100,100.0,0.0
0.1,10,169,41682,1,100,100.0,0.0
0.1,10,170,58639,1,100,100.0,0.0
0.1,10,171,31173,1,100,100.0,0.0
0.1,10,172,29610,1,100,100.0,0.0
0.1,10,173,19041,1,100,100.0,0.0
0.1,10,174,36394,1,100,100.0,0.0
0.1,10,175,24470,1,100,100.0,0.0
0.1,10,176,17165,2,99,99.0,0.011111111111111112
0.1,10,177,27051,1,100,100.0,0.0
0.1,10,178,26710,1,100,100.0,0.0
0.1,10,179,29442,1,100,100.0,0.0
0.1,10,180,43327,1,100,100.0,0.0
0.1,10,181,48811,1,100,100.0,0.0
0.1,10,182,35124,1,100,100.0,0.0
0.1,10,183,32104,1,100,100.0,0.0
0.1,10,184,53668,1,100,100.0,0.0
0.1,10,185,26742,1,100,100.0,0.0
0.1,10,186,26127,1,100,100.0,0.0
0.1,10,187,45374,1,100,100.0,0.0
0.1,10,188,29192,1,100,100.0,0.0
0.1,10,189,50629,1,100,100.0,0.0
0.1,10,190,35568,1,100,100.0,0.0
0.1,10,191,23251,1,100,100.0,0.0
0.1,10,192,46117,1,100,100.0,0.0
0.1,10,193,20037,1,100,100.0,0.0
0.1,10,194,59922,1,100,100.0,0.0
0.1,10,195,43095,1,100,100.0,0.0
0.1,10,196,32474,2,99,99.0,0.016666666666666666
0.1,10,197,34046,1,100,100.0,0.0
0.1,10,198,40549,1,100,100.0,0.0
0.1,10,199,51471,1,100,100.0,0.0
0.25,10,0,53715,1,100,100.0,0.0
0.25,10,1,35805,1,100,100.0,0.0
0.25,10,2,34532,1,100,100.0,0.0
0.25,10,3,23670,2,99,99.0,0.011111111111111112
0.25,10,4,79879,1,100,100.0,0.0
0.25,10,5,33819,1,100,100.0,0.0
0.25,10,6,38901,1,100,100.0,0.0
0.25,10,7,26937,1,100,100.0,0.0
0.25,10,8,39103,2,99,99.0,0.016666666666666666
0.25,10,9,45430,1,100,100.0,0.0
0.25,10,10,25255,1,100,100.0,0.0
0.25,10,11,33989,1,100,100.0,0.0
0.25,10,12,42669,1,100,100.0,0.0
0.25,10,13,36444,1,100,100.0,0.0
0.25,10,14,50981,1,100,100.0,0.0
0.25,10,15,18044,1,100,100.0,0.0
0.25,10,16,35669,1,100,100.0,0.0
0.25,10,17,35250,1,100,100.0,0.0
0.25,10,18,36713,1,100,100.0,0.0
0.25,10,19,27150,1,100,100.0,0.0
0.25,10,20,23660,1,100,100.0,0.0
0.25,10,21,24400,1,100,100.0,0.0
0.25,10,22,22810,1,100,100.0,0.0
0.25,10,23,24522,2,99,99.0,0.022222222222222223
0.25,10,24,66839,1,100,100.0,0.0
0.25,10,25,65158,1,100,100.0,0.0
0.25,10,26,42245,1,100,100.0,0.0
0.25,10,27,21936,1,100,100.0,0.0
0.25,10,28,50726,1,100,100.0,0.0
0.25,10,29,24326,1,100,100.0,0.0
0.25,10,30,26347,1,100,100.0,0.0
0.25,10,31,117089,1,100,100.0,0.0
0.25,10,32,81667,1,100,100.0,0.0
0.25,10,33,40458,1,100,100.0,0.0
0.25,10,34,40949,1,100,100.0,0.0
0.25,10,35,34661,2,99,99.0,0.022222222222222223
0.25,10,36,36191,1,100,100.0,0.0
0.25,10,37,38517,2,99,99.0,0.022222222222222223
0.25,10,38,30931,1,100,100.0,0.0
0.25,10,39,35025,1,100,100.0,0.0
0.25,10,40,28943,1,100,100.0,0.0
0.25,10,41,43209,1,100,100.0,0.0
0.25,10,42,30491,1,100,100.0,0.0
0.25,10,43,25241,1,100,100.0,0.0
0.25,10,44,17800,1,100,100.0,0.0
0.25,10,45,68328,1,100,100.0,0.0
0.25,10,46,16740,1,100,100.0,0.0
0.25,10,47,36268,1,100,100.0,0.0
0.25,10,48,60060,1,100,100.0,0.0
0.25,10,49,37287,1,100,100.0,0.0
0.25,10,50,75340,1,100,100.0,0.0
0.25,10,51,29373,2,99,99.0,0.022222222222222223
0.25,10,52,32449,2,99,99.0,0.016666666666666666
0.25,10,53,28469,1,100,100.0,0.0
0.25,10,54,33088,1,100,100.0,0.0
0.25,10,55,25969,1,100,100.0,0.0
0.25,10,56,19780,2,99,99.0,0.016666666666666666
0.25,10,57,46352,1,100,100.0,0.0
0.25,10,58,50939,1,100,100.0,0.0
0.25,10,59,24716,1,100,100.0,0.0
0.25,10,60,49167,1,100,100.0,0.0
0.25,10,61,60676,1,100,100.0,0.0
0.25,10,62,19967,1,100,100.0,0.0
0.25,10,63,30156,1,100,100.0,0.0
0.25,10,64,15237,2,98,98.0,0.022222222222222223
0.25,10,65,43354,1,100,100.0,0.0
0.25,10,66,38116,1,100,100.0,0.0
0.25,10,67,27496,1,100,100.0,0.0
0.25,10,68,36794,1,100,100.0,0.0
0.25,10,69,22822,1,100,100.0,0.0
0.25,10,70,53565,2,99,99.0,0.016666666666666666
0.25,10,71,37584,2,99,99.0,0.016666666666666666
0.25,10,72,26991,1,100,100.0,0.0
0.25,10,73,35470,1,100,100.0,0.0
0.25,10,74,30270,1,100,100.0,0.0
0.25,10,75,35882,1,100,100.0,0.0
0.25,10,76,54114,1,100,100.0,0.0
0.25,10,77,54594,1,100,100.0,0.0
0.25,10,78,30204,1,100,100.0,0.0
0.25,10,79,20077,1,100,100.0,0.0
0.25,10,80,39823,1,100,100.0,0.0
0.25,10,81,49699,1,100,100.0,0.0
0.25,10,82,49497,1,100,100.0,0.0
0.25,10,83,20885,1,100,100.0,0.0
0.25,10,84,18418,1,100,100.0,0.0
0.25,10,85,29001,1,100,100.0,0.0
0.25,10,86,25576,1,100,100.0,0.0
0.25,10,87,33316,1,100,100.0,0.0
0.25,10,88,32546,1,100,100.0,0.0
0.25,10,89,36106,1,100,100.0,0.0
0.25,10,90,24050,1,100,100.0,0.0
0.25,10,91,47374,1,100,100.0,0.0
0.25,10,92,34990,1,100,100.0,0.0
0.25,10,93,23467,1,100,100.0,0.0
0.25,10,94,57464,1,100,100.0,0.0
0.25,10,95,43848,1,100,100.0,0.0
0.25,10,96,35173,1,100,100.0,0.0
0.25,10,97,30184,2,99,99.0,0.016666666666666666
0.25,10,98,70118,1,100,100.0,0.0
0.25,10,99,24249,1,100,100.0,0.0
0.25,10,100,39996,1,100,100.0,0.0
0.25,10,101,33305,1,100,100.0,0.0
0.25,10,102,24703,1,100,100.0,0.0
0.25,10,103,30110,1,100,100.0,0.0
0.25,10,104,29553,1,100,100.0,0.0
0.25,10,105,25621,1,100,100.0,0.0
0.25,10,106,29391,1,100,100.0,0.0
0.25,10,107,34692,1,100,100.0,0.0
0.25,10,108,27810,1,100,100.0,0.0
0.25,10,109,35582,1,100,100.0,0.0
0.25,10,110,37902,1,100,100.0,0.0
0.25,10,111,41470,1,100,100.0,0.0
0.25,10,112,42236,1,100,100.0,0.0
0.25,10,113,45677,1,100,100.0,0.0
0.25,10,114,24377,1,100,100.0,0.0
0.25,10,115,28598,1,100,100.0,0.0
0.25,10,116,14903,1,100,100.0,0.0
0.25,10,117,24681,1,100,100.0,0.0
0.25,10,118,31758,2,99,99.0,0.016666666666666666
0.25,10,119,20399,1,100,100.0,0.0
0.25,10,120,43520,2,99,99.0,0.022222222222222223
0.25,10,121,35046,1,100,100.0,0.0
0.25,10,122,43986,1,100,100.0,0.0
0.25,10,123,38283,1,100,100.0,0.0
0.25,10,124,36264,1,100,100.0,0.0
0.25,10,125,25119,1,100,100.0,0.0
